Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
6.909127640E-1,-5.335994363E-1,5.008476734E0,8.417053223E0,9.808993450E0
6.933165140E-1,-5.455635786E-1,5.001298428E0,8.412266731E0,9.801880286E0
6.957185970E-1,-5.479564071E-1,5.010869503E0,8.417053223E0,9.811006796E0
6.981216180E-1,-5.503492355E-1,5.020441055E0,8.421838760E0,9.820136495E0
7.005253680E-1,-5.359922647E-1,5.030012131E0,8.429017067E0,9.830393606E0
7.029274520E-1,-5.144568682E-1,5.027619362E0,8.412266731E0,9.813656499E0
7.053304720E-1,-5.383850932E-1,5.020441055E0,8.429017067E0,9.825630545E0
7.077333370E-1,-5.479564071E-1,5.034798145E0,8.421838760E0,9.827350441E0
7.101363580E-1,-5.599204898E-1,5.022833824E0,8.409873962E0,9.811643626E0
7.125401080E-1,-5.694918036E-1,5.058726311E0,8.445766449E0,9.861338840E0
7.149421910E-1,-5.670989752E-1,5.041976452E0,8.407481194E0,9.819820152E0
7.173452120E-1,-5.575276613E-1,5.030012131E0,8.417053223E0,9.821336166E0
7.197489620E-1,-5.766702294E-1,5.041976452E0,8.417053223E0,9.828573653E0
7.221510450E-1,-5.862415433E-1,5.022833824E0,8.409873962E0,9.813180872E0
7.245540660E-1,-6.029912829E-1,5.025226593E0,8.419445992E0,9.823623140E0
7.269569310E-1,-6.053841114E-1,5.013262749E0,8.400302887E0,9.801243896E0
7.293599520E-1,-6.388836503E-1,5.013262749E0,8.414659500E0,9.815674720E0
7.317637020E-1,-6.221339107E-1,5.008476734E0,8.421838760E0,9.818312376E0
7.341657850E-1,-6.173482537E-1,5.010869503E0,8.402695656E0,9.802817265E0
7.365688060E-1,-6.484549642E-1,5.006083965E0,8.419445992E0,9.816742908E0
7.389725560E-1,-6.317051649E-1,5.025226593E0,8.402695656E0,9.811077821E0
7.413746390E-1,-6.101697683E-1,5.006083965E0,8.400302887E0,9.797870810E0
7.437776600E-1,-6.125625968E-1,5.010869503E0,8.433802605E0,9.829194905E0
7.461806290E-1,-6.221339107E-1,5.010869503E0,8.407481194E0,9.807222023E0
7.485834930E-1,-5.982056856E-1,5.008476734E0,8.402695656E0,9.800407314E0
7.509872950E-1,-5.694918036E-1,4.984548569E0,8.400302887E0,9.784433246E0
7.533893790E-1,-5.575276613E-1,4.989334106E0,8.405088425E0,9.790291280E0
7.557923990E-1,-5.718846321E-1,4.984548569E0,8.385946274E0,9.772250067E0
7.581961490E-1,-5.766702294E-1,4.972584724E0,8.407481194E0,9.784931651E0
7.605982330E-1,-5.647061467E-1,4.965405941E0,8.417053223E0,9.788816790E0
7.630012540E-1,-5.359922647E-1,4.934299469E0,8.412266731E0,9.767334873E0
7.654042220E-1,-5.144568682E-1,4.946263313E0,8.400302887E0,9.761929893E0
7.678070870E-1,-5.383850932E-1,4.943870544E0,8.395517349E0,9.757890450E0
7.702108890E-1,-5.431707501E-1,4.960620403E0,8.393124580E0,9.764595715E0
7.726130240E-1,-5.144568682E-1,4.943870544E0,8.381160736E0,9.744248412E0
7.750159930E-1,-5.264210105E-1,4.943870544E0,8.397910118E0,9.759296562E0
