Time (s),Magnetic field x,Magnetic field y,Magnetic field z
1.62E+18,8.918199539,-53.66779709,-18.95879936
1.62E+18,8.967000008,-53.375,-19.6420002
1.62E+18,8.991399765,-53.04559708,-20.30080032
1.62E+18,8.94260025,-52.66740036,-21.00839996
1.62E+18,8.979199409,-52.31359863,-21.78919983
1.62E+18,9.040200233,-51.8987999,-22.56999969
1.62E+18,9.088999748,-51.45959854,-23.38739967
1.62E+18,9.137800217,-50.98379898,-24.10719872
1.62E+18,9.2354002,-50.50799942,-24.82699966
1.62E+18,9.284199715,-50.00779724,-25.55900002
1.62E+18,9.320799828,-49.53199768,-26.25440025
1.62E+18,9.394000053,-49.00740051,-26.96199989
1.62E+18,9.467200279,-48.47060013,-27.59639931
1.62E+18,9.418399811,-47.97039795,-28.27960014
1.62E+18,9.394000053,-47.47019958,-28.81639862
1.62E+18,9.406199455,-46.96999741,-29.40199852
1.62E+18,9.333000183,-46.56739807,-29.87779999
1.62E+18,9.259799957,-46.16479874,-30.29259872
1.62E+18,9.198800087,-45.83539963,-30.62199974
1.62E+18,9.162199974,-45.54259872,-30.90259933
1.62E+18,9.076799393,-45.29859924,-31.17099953
1.62E+18,9.040200233,-45.00579834,-31.3783989
1.62E+18,8.979199409,-44.76179886,-31.71999931
1.62E+18,8.918199539,-44.5788002,-31.93959999
1.62E+18,8.893799782,-44.3225975,-32.09819794
1.62E+18,8.906000137,-44.12739944,-32.24459839
1.62E+18,8.869400024,-43.95660019,-32.48859787
1.62E+18,8.869400024,-43.83459854,-32.61059952
1.62E+18,8.845000267,-43.72480011,-32.75699997
1.62E+18,8.759599686,-43.79800034,-32.78139877
1.62E+18,8.783999443,-43.91999817,-32.63499832
1.62E+18,8.796199799,-44.07859802,-32.48859787
1.62E+18,8.783999443,-44.35919952,-32.35440063
1.62E+18,8.747400284,-44.72520065,-32.07379913
1.62E+18,8.710800171,-45.21319962,-31.61019897
1.62E+18,8.637599945,-45.7378006,-31.18319893
1.62E+18,8.649800301,-46.27460098,-30.65859985
1.62E+18,8.68639946,-46.84799957,-30.06079865
1.62E+18,8.674200058,-47.45800018,-29.29220009
1.62E+18,8.649800301,-48.1411972,-28.4503994
1.62E+18,8.661999702,-48.90979767,-27.49880028
1.62E+18,8.600999832,-49.65399933,-26.47399902
1.62E+18,8.539999962,-50.19079971,-25.41259956
1.62E+18,8.539999962,-50.93499756,-24.13159943
1.62E+18,8.491199493,-51.70359802,-22.80179977
1.62E+18,8.405799866,-52.41119766,-21.3987999
1.62E+18,8.356999397,-53.03339767,-20.06900024
1.62E+18,8.295999527,-53.65559769,-18.54399872
1.62E+18,8.173999786,-54.09479904,-16.95800018
1.62E+18,8.100799561,-54.64379883,-15.3842001
1.62E+18,8.052000046,-54.96099854,-14.02999973
1.62E+18,7.97879982,-55.26599884,-12.51719952
1.62E+18,7.893399715,-55.50999832,-10.96780014
1.62E+18,7.893399715,-55.729599,-9.52820015
1.62E+18,7.868999958,-55.91259766,-8.186200142
1.62E+18,7.795799732,-55.98579788,-6.905200005
1.62E+18,7.759199619,-56.05899811,-5.733999729
1.62E+18,7.710399628,-55.98579788,-4.648200035
1.62E+18,7.698199749,-56.05899811,-3.550199986
1.62E+18,7.625,-56.0345993,-2.574199915
1.62E+18,7.502999783,-56.0102005,-1.610399961
1.62E+18,7.417599678,-55.90039825,-0.6954
1.62E+18,7.319999695,-55.86380005,0.182999998
1.62E+18,7.258999825,-55.7661972,0.890599966
1.62E+18,7.185800076,-55.7052002,1.573799968
1.62E+18,7.161399841,-55.63199997,2.244799852
1.62E+18,7.075999737,-55.48559952,2.793799877
1.62E+18,7.075999737,-55.36359787,3.171999931
1.62E+18,7.11259985,-55.31480026,3.52579999
1.62E+18,7.075999737,-55.31480026,3.781999826
1.62E+18,7.063799858,-55.24160004,3.952800035
1.62E+18,7.088200092,-55.18059921,4.062600136
1.62E+18,7.124799728,-55.14399719,4.099199772
1.62E+18,7.137000084,-55.11959839,3.98939991
1.62E+18,7.100399971,-55.16839981,3.855199814
1.62E+18,7.11259985,-55.19279861,3.684399843
1.62E+18,7.17359972,-55.15620041,3.379400015
1.62E+18,7.234600067,-55.14399719,3.12319994
1.62E+18,7.319999695,-55.16839981,2.903599977
1.62E+18,7.356599808,-55.24160004,2.647399902
1.62E+18,7.405399799,-55.32699966,2.293599844
