Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Absolute (rad/s)
6.236140830E-1,-5.045598149E-1,-7.400414348E-1,-2.003578991E-1,9.178154606E-1
6.260176770E-1,-5.338805318E-1,-7.375980616E-1,-2.211267054E-1,9.370039181E-1
6.284203330E-1,-5.619794726E-1,-7.327113152E-1,-2.406738251E-1,9.542592358E-1
6.308222600E-1,-5.974085927E-1,-7.241594195E-1,-2.602209449E-1,9.741759757E-1
6.332250720E-1,-6.303943992E-1,-7.168292403E-1,-2.822114229E-1,9.954318387E-1
6.356285620E-1,-6.621584296E-1,-7.094991207E-1,-3.005368412E-1,1.015955305E0
6.380312180E-1,-6.988092661E-1,-6.997255087E-1,-3.176405728E-1,1.038674979E0
6.404331970E-1,-7.366818190E-1,-6.948387623E-1,-3.359659910E-1,1.066946182E0
6.428359060E-1,-7.721109390E-1,-6.936170459E-1,-3.555130959E-1,1.097109598E0
6.452395000E-1,-8.099834919E-1,-6.985038519E-1,-3.713951409E-1,1.132216958E0
6.476421560E-1,-8.429692388E-1,-7.033905983E-1,-3.848337829E-1,1.163379780E0
6.500440830E-1,-8.808417320E-1,-7.143858671E-1,-3.982724249E-1,1.202019238E0
6.524468950E-1,-9.138274789E-1,-7.314895988E-1,-4.080459774E-1,1.239620593E0
6.548503850E-1,-9.480349422E-1,-7.522584200E-1,-4.178195298E-1,1.280326576E0
6.572530930E-1,-9.822424054E-1,-7.779139876E-1,-4.251496792E-1,1.323141173E0
6.596550200E-1,-1.014006495E0,-8.072346449E-1,-4.312581718E-1,1.365950422E0
6.620577290E-1,-1.044548869E0,-8.402203918E-1,-4.337015450E-1,1.408953398E0
6.644613220E-1,-1.079977989E0,-8.744278550E-1,-4.337015450E-1,1.455703803E0
6.668639790E-1,-1.109298587E0,-9.110786915E-1,-4.324798584E-1,1.499215316E0
6.692659060E-1,-1.143506050E0,-9.489512444E-1,-4.300364852E-1,1.546947294E0
6.716687180E-1,-1.174048424E0,-9.917105436E-1,-4.263713956E-1,1.594889360E0
6.740722080E-1,-1.205812454E0,-1.030804753E0,-4.202629030E-1,1.641085928E0
6.764749160E-1,-1.236354828E0,-1.069898963E0,-4.165978432E-1,1.687249482E0
6.788768430E-1,-1.266897202E0,-1.106549859E0,-4.104893506E-1,1.731468341E0
6.812795520E-1,-1.292552829E0,-1.141978979E0,-4.056025743E-1,1.771813267E0
6.836831450E-1,-1.319430113E0,-1.174964666E0,-4.019374847E-1,1.811902738E0
6.860858020E-1,-1.346307397E0,-1.209172130E0,-3.982724249E-1,1.852906304E0
6.884877290E-1,-1.369519591E0,-1.240936160E0,-3.958290219E-1,1.890023037E0
6.908905410E-1,-1.391510010E0,-1.272700310E0,-3.933856487E-1,1.926348477E0
6.932940310E-1,-1.411057115E0,-1.304464340E0,-3.921639323E-1,1.961250098E0
6.956966870E-1,-1.429382563E0,-1.331341624E0,-3.909422457E-1,1.992094594E0
6.980986660E-1,-1.447708011E0,-1.355775476E0,-3.921639323E-1,2.021825456E0
7.005013750E-1,-1.462368369E0,-1.377766013E0,-3.921639323E-1,2.047084020E0
7.029049680E-1,-1.477181435E0,-1.392426372E0,-3.970507085E-1,2.068469351E0
7.053076250E-1,-1.490620017E0,-1.409530044E0,-4.007157981E-1,2.090286136E0
7.077095520E-1,-1.501615286E0,-1.420525312E0,-4.031592011E-1,2.106009965E0
7.101123640E-1,-1.515053868E0,-1.429077148E0,-4.080459774E-1,2.122298575E0
7.125158540E-1,-1.524827480E0,-1.436407328E0,-4.117110670E-1,2.134917061E0
7.149185100E-1,-1.534600973E0,-1.437628984E0,-4.153761268E-1,2.143435227E0
7.173204890E-1,-1.548039675E0,-1.437628984E0,-4.190412164E-1,2.153787239E0
7.197231970E-1,-1.556591511E0,-1.437628984E0,-4.227063060E-1,2.160656116E0
7.221267390E-1,-1.567586780E0,-1.436407328E0,-4.263713956E-1,2.168498764E0
7.245294470E-1,-1.578582048E0,-1.441294074E0,-4.263713956E-1,2.179688615E0
7.269313750E-1,-1.590798974E0,-1.448624253E0,-4.263713956E-1,2.193386918E0
7.293341870E-1,-1.600572586E0,-1.460841179E0,-4.251496792E-1,2.208311980E0
7.317376770E-1,-1.609124422E0,-1.480388284E0,-4.239279926E-1,2.227228282E0
7.341403330E-1,-1.618897915E0,-1.503600478E0,-4.227063060E-1,2.249516721E0
7.365423120E-1,-1.622563004E0,-1.526812673E0,-4.227063060E-1,2.267718735E0
7.389450200E-1,-1.631114841E0,-1.554911733E0,-4.202629030E-1,2.292358398E0
7.413486140E-1,-1.633558273E0,-1.586675763E0,-4.202629030E-1,2.315744700E0
7.437512700E-1,-1.637223363E0,-1.624548316E0,-4.190412164E-1,2.344195622E0
7.461531970E-1,-1.638445020E0,-1.661199093E0,-4.190412164E-1,2.370586436E0
7.485560100E-1,-1.639666796E0,-1.702736735E0,-4.190412164E-1,2.400711380E0
7.509595000E-1,-1.639666796E0,-1.746717691E0,-4.214846194E-1,2.432525268E0
7.533621560E-1,-1.636001706E0,-1.793142080E0,-4.214846194E-1,2.463637430E0
7.557641350E-1,-1.627449751E0,-1.844453335E0,-4.251496792E-1,2.496267823E0
7.581668430E-1,-1.620119691E0,-1.895917177E0,-4.300364852E-1,2.530656266E0
7.605704370E-1,-1.612789512E0,-1.950893402E0,-4.361449480E-1,2.568520487E0
7.629730930E-1,-1.610346079E0,-2.005869627E0,-4.446968138E-1,2.610456418E0
7.653750200E-1,-1.606680989E0,-2.059624195E0,-4.544703662E-1,2.651418288E0
7.677778330E-1,-1.606680989E0,-2.113378763E0,-4.642439187E-1,2.695053991E0
7.701813220E-1,-1.612789512E0,-2.161024809E0,-4.715740979E-1,2.737425864E0
7.725839790E-1,-1.617676258E0,-2.198897362E0,-4.825693369E-1,2.772165083E0
7.749859580E-1,-1.628671527E0,-2.236769915E0,-4.898995161E-1,2.809930983E0
7.773886660E-1,-1.637223363E0,-2.268533945E0,-4.960079789E-1,2.841262134E0
7.797922080E-1,-1.643331885E0,-2.292967796E0,-5.045598149E-1,2.865802088E0
7.821949160E-1,-1.650662065E0,-2.313736677E0,-5.131117105E-1,2.888138897E0
7.845968430E-1,-1.656770468E0,-2.332062006E0,-5.204418898E-1,2.907621252E0
7.869996560E-1,-1.656770468E0,-2.346722364E0,-5.265503526E-1,2.920487889E0
7.894031450E-1,-1.655548811E0,-2.358939409E0,-5.326588154E-1,2.930727284E0
7.918058020E-1,-1.653105378E0,-2.367491245E0,-5.375455618E-1,2.937129112E0
7.942077810E-1,-1.643331885E0,-2.374821424E0,-5.412106514E-1,2.938235091E0
7.966104890E-1,-1.634779930E0,-2.378486633E0,-5.424323678E-1,2.936654041E0
7.990140310E-1,-1.627449751E0,-2.377264738E0,-5.460974574E-1,2.932269217E0
8.014167390E-1,-1.616454601E0,-2.371156454E0,-5.460974574E-1,2.921220779E0
8.038186660E-1,-1.604237556E0,-2.361382723E0,-5.473191738E-1,2.906761906E0
8.062214790E-1,-1.595685720E0,-2.345500708E0,-5.485408306E-1,2.889374246E0
8.086249680E-1,-1.583468795E0,-2.324732065E0,-5.522059202E-1,2.866475881E0
8.110276250E-1,-1.572473526E0,-2.296633005E0,-5.558710098E-1,2.838342603E0
8.134296040E-1,-1.557813168E0,-2.264868975E0,-5.619794726E-1,2.805750214E0
8.158323120E-1,-1.538266063E0,-2.229439735E0,-5.668662786E-1,2.767309414E0
8.182358540E-1,-1.519940734E0,-2.189123869E0,-5.754181147E-1,2.726460921E0
