,Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
2016-02-08 18:29:23.656222,1.51346028,2.86600328,9.35085201
2016-02-08 18:29:23.906222,1.52542448,2.85643196,9.38913727
2016-02-08 18:29:24.156222,1.50628185,2.84925365,9.41306496
2016-02-08 18:29:24.406222,1.50628185,2.82293248,9.44656467
2016-02-08 18:29:24.656222,1.47278237,2.82293248,9.4369936
2016-02-08 18:29:24.906222,1.48953211,2.80349088,9.45374298
2016-02-08 18:29:25.156222,1.49431777,2.78434825,9.44656467
2016-02-08 18:29:25.406222,1.52303159,2.76281285,9.47049332
2016-02-08 18:29:25.656222,1.50628185,2.74606299,9.46092129
2016-02-08 18:29:25.906222,1.53499568,2.72692061,9.45374298
2016-02-08 18:29:26.156222,1.56610239,2.67188549,9.43460083
2016-02-08 18:29:26.406222,1.58285213,2.65035009,9.44177914
2016-02-08 18:29:26.656222,1.62113738,2.64077878,9.40827942
2016-02-08 18:29:26.906222,1.62592304,2.62642193,9.40588665
2016-02-08 18:29:27.156222,1.66181529,2.62402916,9.38195801
2016-02-08 18:29:27.406222,1.67856503,2.6072793,9.36999416
2016-02-08 18:29:27.656222,1.70488608,2.61924338,9.35563755
2016-02-08 18:29:27.906222,1.73360002,2.59052968,9.35324478
2016-02-08 18:29:28.156222,1.73360002,2.60249376,9.3676014
2016-02-08 18:29:28.406222,1.76470673,2.60249376,9.3747797
2016-02-08 18:29:28.656222,1.77667081,2.60249376,9.33410168
2016-02-08 18:29:28.906222,1.81525505,2.58813667,9.34128094
2016-02-08 18:29:29.156222,1.86789715,2.57377982,9.3245306
2016-02-08 18:29:29.406222,1.90618229,2.60249376,9.33649445
2016-02-08 18:29:29.656222,1.92771769,2.60249376,9.32931614
2016-02-08 18:29:29.906222,1.94686031,2.60249376,9.32931614
2016-02-08 18:29:30.156222,1.95164597,2.61685062,9.35085201
2016-02-08 18:29:30.406222,1.98275268,2.60967231,9.37717247
2016-02-08 18:29:30.656222,1.98753834,2.59052968,9.39153004
2016-02-08 18:29:30.906222,1.96839571,2.5785656,9.40588665
2016-02-08 18:29:31.156222,1.95643163,2.53788757,9.42981529
2016-02-08 18:29:31.406222,1.94207466,2.5115664,9.44895744
2016-02-08 18:29:31.656222,1.88464689,2.49242377,9.45374298
2016-02-08 18:29:31.906222,1.86789715,2.47806692,9.43460083
2016-02-08 18:29:32.156222,1.81046939,2.46610284,9.42263603
2016-02-08 18:29:32.406222,1.76470673,2.45174599,9.47049332
2016-02-08 18:29:32.656222,1.692922,2.44456744,9.50159931
2016-02-08 18:29:32.906222,1.64027989,2.44217467,9.5566349
2016-02-08 18:29:33.156222,1.58524501,2.43499613,9.57816982
2016-02-08 18:29:33.406222,1.50867462,2.44696021,9.62393284
2016-02-08 18:29:33.656222,1.42731869,2.47088838,9.66461086
2016-02-08 18:29:33.906222,1.34835553,2.46371007,9.71246719
2016-02-08 18:29:34.156222,1.29571343,2.49481678,9.74596691
2016-02-08 18:29:34.406222,1.2355938,2.51395941,9.76750183
2016-02-08 18:29:34.656222,1.19491577,2.51635218,9.76271629
2016-02-08 18:29:34.906222,1.14227366,2.52353048,9.75793076
2016-02-08 18:29:35.156222,1.15184498,2.5354948,9.77707291
2016-02-08 18:29:35.406222,1.16141629,2.52831626,9.77946568
2016-02-08 18:29:35.656222,1.13030958,2.55463719,9.80100155
2016-02-08 18:29:35.906222,1.12313116,2.51635218,9.7890377
2016-02-08 18:29:36.156222,1.12552393,2.53788757,9.77468014
2016-02-08 18:29:36.406222,1.11355984,2.54028034,9.76271629
2016-02-08 18:29:36.656222,1.12313116,2.51874495,9.77228737
2016-02-08 18:29:36.906222,1.13509524,2.51874495,9.77707291
2016-02-08 18:29:37.156222,1.15902352,2.5331018,9.73400211
2016-02-08 18:29:37.406222,1.192523,2.54506588,9.74835968
2016-02-08 18:29:37.656222,1.21166551,2.58095837,9.7196455
2016-02-08 18:29:37.906222,1.22123683,2.59052968,9.68375301
2016-02-08 18:29:38.156222,1.24546421,2.62163639,9.68375301
2016-02-08 18:29:38.406222,1.27178526,2.6288147,9.65503979
2016-02-08 18:29:38.656222,1.29571343,2.61206508,9.62154007
2016-02-08 18:29:38.906222,1.32442737,2.63599324,9.6071825
2016-02-08 18:29:39.156222,1.31485605,2.63120771,9.59043312
2016-02-08 18:29:39.406222,1.3627125,2.65035009,9.55902767
2016-02-08 18:29:39.656222,1.36510527,2.65752864,9.54706287
2016-02-08 18:29:39.906222,1.36749816,2.68624258,9.53270626
2016-02-08 18:29:40.156222,1.39142633,2.70777798,9.50638485
2016-02-08 18:29:40.406222,1.40099764,2.71734929,9.49202824
2016-02-08 18:29:40.656222,1.42253304,2.71495628,9.47288609
2016-02-08 18:29:40.906222,1.41774738,2.74606299,9.44895744
2016-02-08 18:29:41.156222,1.42731869,2.75563431,9.43220806
2016-02-08 18:29:41.406222,1.40817618,2.75802732,9.36999416
2016-02-08 18:29:41.656222,1.39860487,2.75084877,9.35803032
2016-02-08 18:29:41.906222,1.37706947,2.748456,9.33649445
2016-02-08 18:29:42.156222,1.38185513,2.72692061,9.29821014
2016-02-08 18:29:42.406222,1.39621198,2.72931337,9.24556732
2016-02-08 18:29:42.656222,1.3627125,2.71017075,9.21924686
2016-02-08 18:29:42.906222,1.33878422,2.69581389,9.18813992
2016-02-08 18:29:43.156222,1.36031961,2.71974206,9.17139053
2016-02-08 18:29:43.406222,1.35792685,2.72213483,9.13071251
2016-02-08 18:29:43.656222,1.38903356,2.73409891,9.11156941
2016-02-08 18:29:43.906222,1.37706947,2.76042008,9.08764172
