"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.144470605E2,2.868700510E1,1.158769856E2,1.594861923E1,1.147802734E1,5.780000210E0,1.876000061E2,6.942264422E-1,3.790092468E0,3.033424139E0,2.600000000E1
1.154491786E2,2.868696477E1,1.158769841E2,1.613210534E1,1.166162109E1,4.570000172E0,1.861999969E2,6.976311966E-1,3.790092468E0,3.047255754E0,2.600000000E1
1.164502871E2,2.868693460E1,1.158769782E2,1.574837243E1,1.127795410E1,3.319999933E0,1.848999939E2,6.998081013E-1,3.790092468E0,3.064337254E0,2.700000000E1
1.174496208E2,2.868691504E1,1.158769791E2,1.576311620E1,1.129275513E1,2.329999924E0,1.840000000E2,7.013570477E-1,3.790092468E0,2.981459618E0,2.700000000E1
1.184595445E2,2.868690118E1,1.158769807E2,1.569889437E1,1.122857666E1,1.480000019E0,1.831000061E2,7.028223717E-1,3.790092468E0,2.996837854E0,2.800000000E1
1.194462138E2,2.868688832E1,1.158769840E2,1.592571636E1,1.145544434E1,1.330000043E0,1.823000031E2,7.042427686E-1,3.790092468E0,3.003152132E0,3.000000000E1
1.204502727E2,2.868687556E1,1.158769846E2,1.611256846E1,1.164233398E1,1.240000010E0,1.821999969E2,7.054217322E-1,3.790092468E0,2.962279558E0,3.000000000E1
1.214511942E2,2.868686498E1,1.158769854E2,1.657805177E1,1.210784912E1,1.029999971E0,1.828000031E2,7.060810430E-1,3.790092468E0,2.946458817E0,3.000000000E1
1.224492764E2,2.868685910E1,1.158769863E2,1.651425105E1,1.204406738E1,5.600000024E-1,1.828000031E2,7.063269316E-1,3.790092468E0,2.922468901E0,2.800000000E1
1.234455644E2,2.868686070E1,1.158769880E2,1.640661474E1,1.193643188E1,0.000000000E0,0.000000000E0,7.065627940E-1,3.910039902E0,4.305192947E0,2.900000000E1
1.244459993E2,2.868686282E1,1.158769880E2,1.625433817E1,1.178414917E1,0.000000000E0,0.000000000E0,7.068093871E-1,4.030916214E0,4.476194382E0,3.000000000E1
1.254477432E2,2.868686503E1,1.158769878E2,1.603168870E1,1.156149292E1,0.000000000E0,0.000000000E0,7.070921169E-1,4.203215122E0,4.699872494E0,3.000000000E1
1.264549810E2,2.868686741E1,1.158769867E2,1.612084025E1,1.165063477E1,0.000000000E0,0.000000000E0,7.073305971E-1,4.365727425E0,4.838804245E0,3.000000000E1
1.274550987E2,2.868686953E1,1.158769864E2,1.616613535E1,1.169592285E1,0.000000000E0,0.000000000E0,7.074886191E-1,4.313126564E0,4.765788078E0,3.000000000E1
1.284585518E2,2.868686817E1,1.158769859E2,1.619903094E1,1.172882080E1,2.099999934E-1,1.828000031E2,7.076271662E-1,4.131601334E0,4.558547974E0,3.000000000E1
1.294515872E2,2.868686763E1,1.158769846E2,1.599389414E1,1.152368164E1,0.000000000E0,0.000000000E0,7.082187068E-1,4.013927460E0,4.346878529E0,3.100000000E1
1.304489730E2,2.868687074E1,1.158769797E2,1.603063031E1,1.156039429E1,0.000000000E0,0.000000000E0,7.082817442E-1,4.207492352E0,4.590626717E0,3.000000000E1
1.314478954E2,2.868687049E1,1.158769791E2,1.608595973E1,1.161572266E1,0.000000000E0,0.000000000E0,7.089655666E-1,4.178729057E0,4.553764343E0,3.000000000E1
1.324528807E2,2.868686439E1,1.158769800E2,1.648401136E1,1.201379395E1,4.900000095E-1,1.828000031E2,7.101276344E-1,4.001965046E0,4.270034313E0,3.000000000E1
1.334484659E2,2.868685404E1,1.158769817E2,1.662063530E1,1.215045166E1,1.019999981E0,1.831999969E2,7.122369712E-1,3.920396328E0,4.217243195E0,3.000000000E1
1.344489483E2,2.868683510E1,1.158769829E2,1.648825473E1,1.201812744E1,1.899999976E0,1.825000000E2,7.152559292E-1,3.817238331E0,4.086161137E0,3.000000000E1
1.354467729E2,2.868680795E1,1.158769828E2,1.686183673E1,1.239178467E1,2.779999971E0,1.826000061E2,7.187608447E-1,3.790092468E0,3.749118090E0,3.000000000E1
1.364501878E2,2.868677647E1,1.158769810E2,1.723687673E1,1.276690674E1,3.299999952E0,1.843999939E2,7.228043349E-1,3.790092468E0,3.528337717E0,3.100000000E1
1.374501144E2,2.868674028E1,1.158769769E2,1.696457149E1,1.249468994E1,3.829999924E0,1.858000031E2,7.270825472E-1,3.790092468E0,3.551223516E0,3.100000000E1
1.384539859E2,2.868670206E1,1.158769719E2,1.739984416E1,1.293005371E1,4.070000172E0,1.873000031E2,7.312295955E-1,3.790092468E0,3.519051790E0,3.100000000E1
1.394520228E2,2.868666521E1,1.158769653E2,1.758341622E1,1.311370850E1,3.839999914E0,1.876999969E2,7.348283872E-1,3.790092468E0,3.584618807E0,3.200000000E1
1.404495437E2,2.868663344E1,1.158769583E2,1.838272655E1,1.391308594E1,3.539999962E0,1.880000000E2,7.380987879E-1,3.790092468E0,3.491046906E0,3.100000000E1
1.414551341E2,2.868660478E1,1.158769507E2,1.971067250E1,1.524108887E1,3.220000029E0,1.885000000E2,7.404887995E-1,3.790092468E0,3.642010212E0,3.100000000E1
1.424544331E2,2.868658367E1,1.158769461E2,1.922301784E1,1.475347900E1,2.369999886E0,1.888999939E2,7.420788142E-1,3.790092468E0,3.554529428E0,3.000000000E1
1.434530976E2,2.868656971E1,1.158769426E2,1.927035295E1,1.480084229E1,1.710000038E0,1.893000031E2,7.433171873E-1,3.790092468E0,3.341737032E0,3.100000000E1
