,Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
2/8/16 19:22,0.249451757,3.488436222,8.972486496
2/8/16 19:22,0.280558467,3.490829229,8.970093727
2/8/16 19:22,0.297308207,3.483650684,8.934201241
2/8/16 19:22,0.285344094,3.502793312,8.903095245
2/8/16 19:22,0.290129751,3.533900023,8.88634491
2/8/16 19:22,0.316450805,3.524328709,8.876773834
2/8/16 19:22,0.304486692,3.519542933,8.867202759
2/8/16 19:22,0.299701035,3.555435419,8.855237961
2/8/16 19:22,0.270987153,3.541078329,8.833703041
2/8/16 19:22,0.268594354,3.543471336,8.821739197
2/8/16 19:22,0.23509483,3.557828188,8.838488579
2/8/16 19:22,0.223130718,3.560220957,8.840881348
2/8/16 19:22,0.220737889,3.562613726,8.874381065
2/8/16 19:22,0.220737889,3.574577808,8.869595528
2/8/16 19:22,0.199202478,3.579363585,8.88634491
2/8/16 19:22,0.196809664,3.584149122,8.891130447
2/8/16 19:22,0.182452723,3.584149122,8.900702477
2/8/16 19:22,0.170488611,3.593720436,8.922237396
2/8/16 19:22,0.151346028,3.579363585,8.927022934
2/8/16 19:22,0.129810631,3.567399502,8.955737114
2/8/16 19:22,0.125024989,3.576970816,8.962915421
2/8/16 19:22,0.112761766,3.584149122,8.984451294
2/8/16 19:22,0.107976124,3.565006733,8.982057571
2/8/16 19:22,0.112761766,3.584149122,8.982057571
2/8/16 19:22,0.127417803,3.562613726,8.991629601
2/8/16 19:22,0.115154587,3.574577808,9.022735596
2/8/16 19:22,0.148953214,3.569792271,9.003593445
2/8/16 19:22,0.156131685,3.560220957,9.020342827
2/8/16 19:22,0.156131685,3.560220957,9.008378983
2/8/16 19:22,0.18005991,3.557828188,9.003593445
2/8/16 19:22,0.194416836,3.560220957,9.005986214
2/8/16 19:22,0.208773777,3.562613726,8.996415138
2/8/16 19:22,0.218345061,3.550649643,9.032606125
2/8/16 19:22,0.215952247,3.53868556,9.005986214
2/8/16 19:22,0.244666114,3.560220957,9.010771751
2/8/16 19:22,0.203988135,3.533900023,9.034998894
2/8/16 19:22,0.213559419,3.531507015,9.0421772
2/8/16 19:22,0.208773777,3.531507015,9.030213356
2/8/16 19:22,0.189631194,3.512364626,9.056534767
2/8/16 19:22,0.172881439,3.529114246,9.07089138
2/8/16 19:22,0.172881439,3.502793312,9.097212791
2/8/16 19:22,0.129810631,3.502793312,9.090034485
2/8/16 19:22,0.122333057,3.500400543,9.080462456
2/8/16 19:22,0.115154587,3.476472139,9.101998329
2/8/16 19:22,0.100797653,3.457329512,9.130712509
2/8/16 19:22,0.076869428,3.457329512,9.145069122
2/8/16 19:22,0.093619183,3.44297266,9.142676353
2/8/16 19:22,0.105583303,3.438187122,9.157032967
2/8/16 19:22,0.072083779,3.457329512,9.164211273
2/8/16 19:22,0.093619183,3.447758436,9.164211273
2/8/16 19:22,0.098404832,3.457329512,9.176176071
2/8/16 19:22,0.122333057,3.445365429,9.159425735
2/8/16 19:22,0.125024989,3.447758436,9.180961609
2/8/16 19:22,0.146560386,3.452543974,9.17856884
2/8/16 19:22,0.141774744,3.445365429,9.192925453
2/8/16 19:22,0.146560386,3.466900826,9.204889297
2/8/16 19:22,0.165702969,3.471686602,9.231210709
2/8/16 19:22,0.168095797,3.469293833,9.224032402
2/8/16 19:22,0.175274253,3.466900826,9.212067604
2/8/16 19:22,0.196809664,3.469293833,9.233603477
2/8/16 19:22,0.201595306,3.478864908,9.264710426
2/8/16 19:22,0.206380948,3.471686602,9.259924889
2/8/16 19:22,0.203988135,3.493221998,9.267103195
2/8/16 19:22,0.211166605,3.459722519,9.267103195
2/8/16 19:22,0.189631194,3.47407937,9.267103195
2/8/16 19:22,0.196809664,3.483650684,9.291030884
2/8/16 19:22,0.201595306,3.464508057,9.269495964
2/8/16 19:22,0.218345061,3.500400543,9.286245346
2/8/16 19:22,0.206380948,3.500400543,9.286245346
2/8/16 19:22,0.187238365,3.493221998,9.300602913
2/8/16 19:22,0.201595306,3.493221998,9.291030884
2/8/16 19:22,0.225523531,3.476472139,9.291030884
2/8/16 19:22,0.223130718,3.481257915,9.283852577
2/8/16 19:22,0.208773777,3.514757395,9.295816422
2/8/16 19:22,0.230309174,3.493221998,9.283852577
2/8/16 19:22,0.218345061,3.505186081,9.307781219
2/8/16 19:22,0.220737889,3.498007536,9.295816422
2/8/16 19:22,0.189631194,3.512364626,9.293423653
2/8/16 19:22,0.196809664,3.514757395,9.286245346
2/8/16 19:22,0.225523531,3.52193594,9.271888733
2/8/16 19:22,0.206380948,3.505186081,9.276674271
2/8/16 19:22,0.192024022,3.495614767,9.243174553
2/8/16 19:22,0.175274253,3.505186081,9.250352859
2/8/16 19:22,0.156131685,3.512364626,9.243174553
2/8/16 19:22,0.148953214,3.509971619,9.231210709
2/8/16 19:22,0.132203445,3.514757395,9.209674835
2/8/16 19:22,0.125024989,3.519542933,9.188139915
2/8/16 19:22,0.115154587,3.526721478,9.209674835
2/8/16 19:22,0.076869428,3.533900023,9.224032402
2/8/16 19:22,0.050548378,3.529114246,9.216854095
2/8/16 19:22,0.050548378,3.512364626,9.235996246
2/8/16 19:22,-0.004486543,3.529114246,9.231210709
2/8/16 19:22,-0.004486543,3.512364626,9.25753212
2/8/16 19:22,-0.026021946,3.533900023,9.262317657
2/8/16 19:22,-0.0212363,3.529114246,9.226425171
2/8/16 19:22,-0.023629123,3.529114246,9.22881794
2/8/16 19:22,-0.00209372,3.53868556,9.219246864
2/8/16 19:22,-0.009272188,3.529114246,9.202496529
2/8/16 19:22,0.012263216,3.533900023,9.195318222
2/8/16 19:22,0.057726845,3.53868556,9.188139915
2/8/16 19:22,0.072083779,3.557828188,9.173783302
2/8/16 19:22,0.069690958,3.562613726,9.133105278
2/8/16 19:22,0.103190474,3.591327667,9.133105278
2/8/16 19:22,0.115154587,3.574577808,9.097212791
2/8/16 19:22,0.125024989,3.593720436,9.054141998
2/8/16 19:22,0.110368945,3.581756353,9.049356461
2/8/16 19:22,0.112761766,3.596113443,9.034998894
2/8/16 19:22,0.112761766,3.615255833,9.027522087
2/8/16 19:22,0.098404832,3.60329175,9.022735596
2/8/16 19:22,0.107976124,3.596113443,9.010771751
2/8/16 19:22,0.139381915,3.605684519,9.003593445
2/8/16 19:22,0.122333057,3.605684519,8.994022369
2/8/16 19:22,0.091226362,3.624827147,8.979664803
2/8/16 19:22,0.107976124,3.61764884,8.979664803
2/8/16 19:22,0.096012011,3.608077526,8.977272034
2/8/16 19:22,0.08165507,3.600898981,8.960522652
2/8/16 19:22,0.072083779,3.605684519,8.979664803
2/8/16 19:22,0.067298137,3.610470295,8.934201241
2/8/16 19:22,0.072083779,3.608077526,8.934201241
2/8/16 19:22,0.072083779,3.615255833,8.924630165
2/8/16 19:22,0.06011967,3.58654213,8.910273552
2/8/16 19:22,0.057726845,3.593720436,8.903095245
2/8/16 19:22,0.079262249,3.596113443,8.883952141
2/8/16 19:22,0.072083779,3.593720436,8.888737679
2/8/16 19:22,0.076869428,3.596113443,8.862417221
2/8/16 19:22,0.052941199,3.57218504,8.879166603
2/8/16 19:22,0.072083779,3.598506212,8.850452423
2/8/16 19:22,0.084047899,3.584149122,8.83609581
2/8/16 19:22,0.098404832,3.574577808,8.826524734
2/8/16 19:22,0.08165507,3.565006733,8.83609581
2/8/16 19:22,0.064905316,3.584149122,8.867202759
2/8/16 19:22,0.050548378,3.581756353,8.88634491
2/8/16 19:22,0.031405795,3.584149122,8.879166603
2/8/16 19:22,0.038584266,3.593720436,8.900702477
2/8/16 19:22,0.014656039,3.593720436,8.919844627
2/8/16 19:22,0.002691926,3.567399502,8.919844627
2/8/16 19:22,0.040977087,3.596113443,8.929415703
2/8/16 19:22,0.050548378,3.581756353,8.927022934
2/8/16 19:22,0.045762733,3.58654213,8.967700958
2/8/16 19:22,0.055334024,3.591327667,8.991629601
2/8/16 19:22,0.076869428,3.596113443,9.003593445
2/8/16 19:22,0.096012011,3.58654213,9.005986214
2/8/16 19:22,0.134596273,3.574577808,9.020342827
