"Time (s)","Illuminance (lx)"
7.924430915E1,9.699999809E0
7.944430826E1,9.000000000E0
7.964433243E1,1.039999962E1
7.984433008E1,9.699999809E0
8.004431967E1,9.199999809E0
8.024433008E1,9.000000000E0
8.044433081E1,8.199999809E0
8.064433316E1,7.199999809E0
8.084431014E1,6.800000191E0
8.104432899E1,6.800000191E0
8.124433508E1,6.800000191E0
8.144433373E1,7.099999905E0
8.164430972E1,7.400000095E0
8.184432936E1,6.500000000E0
8.204433347E1,5.699999809E0
8.224433295E1,5.900000095E0
8.244431019E1,4.800000191E0
8.264430790E1,5.099999905E0
8.284432956E1,5.199999809E0
8.304433347E1,5.900000095E0
8.324430920E1,5.900000095E0
8.344433092E1,5.599999905E0
8.364433305E1,5.500000000E0
8.384432909E1,5.300000191E0
8.404430899E1,5.199999809E0
8.424432925E1,5.599999905E0
8.444433243E1,5.900000095E0
8.464433165E1,6.099999905E0
8.484431071E1,6.500000000E0
8.504430816E1,6.300000191E0
8.524433264E1,6.400000095E0
8.544433295E1,6.699999809E0
8.564430977E1,6.400000095E0
8.584432993E1,6.699999809E0
8.604433191E1,6.800000191E0
8.624433060E1,6.300000191E0
8.644430883E1,6.699999809E0
8.664430852E1,6.199999809E0
8.684432982E1,5.900000095E0
8.704433269E1,5.900000095E0
8.724431722E1,6.099999905E0
8.744430790E1,5.900000095E0
8.764433196E1,5.000000000E0
8.784433081E1,5.099999905E0
8.804431628E1,5.500000000E0
8.814433248E1,5.199999809E0
8.834432988E1,5.800000191E0
8.854430951E1,6.400000095E0
8.874433066E1,5.699999809E0
8.894433326E1,6.500000000E0
8.914430982E1,6.599999905E0
8.934431701E1,6.500000000E0
8.954433008E1,6.599999905E0
8.974432982E1,6.699999809E0
8.994433394E1,6.699999809E0
9.014432076E1,6.699999809E0
9.034433034E1,6.199999809E0
9.054433560E1,5.900000095E0
9.074433331E1,6.199999809E0
9.094432206E1,5.800000191E0
9.114430883E1,4.400000095E0
9.134433451E1,4.300000191E0
9.154433264E1,4.199999809E0
9.174431123E1,4.199999809E0
9.194432936E1,4.300000191E0
9.214433243E1,4.800000191E0
9.234432956E1,4.599999905E0
9.254431081E1,5.000000000E0
9.274430810E1,4.699999809E0
9.294433279E1,4.800000191E0
9.314433217E1,4.900000095E0
9.334430993E1,5.400000095E0
9.354430956E1,5.500000000E0
9.374433227E1,5.099999905E0
9.394433326E1,5.599999905E0
9.414431060E1,5.699999809E0
9.434430977E1,5.599999905E0
9.454433248E1,6.000000000E0
9.474433477E1,5.800000191E0
9.494430936E1,5.800000191E0
9.514433133E1,6.199999809E0
9.534432941E1,7.900000095E0
9.554433373E1,1.030000019E1
9.574431602E1,1.280000019E1
9.594431274E1,1.460000038E1
9.614433201E1,1.629999924E1
9.634433086E1,1.729999924E1
9.654431613E1,1.779999924E1
9.674430977E1,1.910000038E1
9.694433217E1,1.960000038E1
9.714433295E1,2.139999962E1
9.734432529E1,2.389999962E1
9.754430764E1,2.689999962E1
9.774433248E1,2.520000076E1
9.794433248E1,2.370000076E1
9.814431868E1,2.300000000E1
9.834431003E1,2.160000038E1
9.854433201E1,2.289999962E1
9.874433123E1,2.889999962E1
9.894430904E1,2.389999962E1
9.914431264E1,2.429999924E1
9.934433061E1,2.550000000E1
9.954433347E1,2.539999962E1
9.974431133E1,2.429999924E1
9.994431665E1,2.350000000E1
1.001443324E2,2.360000038E1
1.003443319E2,2.389999962E1
1.005443196E2,2.389999962E1
1.007443104E2,2.410000038E1
1.009443327E2,2.320000076E1
1.011443312E2,2.310000038E1
1.013443436E2,2.210000038E1
1.015443107E2,2.120000076E1
1.017443322E2,2.010000038E1
1.019443333E2,2.150000000E1
1.021443452E2,2.470000076E1
1.023443097E2,2.979999924E1
1.025442547E2,3.129999924E1
1.027443350E2,3.240000153E1
1.029443476E2,3.309999847E1
1.031443166E2,3.300000000E1
1.033443294E2,2.820000076E1
1.035443334E2,2.329999924E1
1.037443324E2,2.089999962E1
1.039443102E2,1.960000038E1
1.041443311E2,1.929999924E1
1.043443332E2,2.010000038E1
1.045443337E2,2.020000076E1
1.047443091E2,1.950000000E1
1.049443330E2,2.060000038E1
1.051443294E2,2.170000076E1
1.053443332E2,2.189999962E1
1.055443096E2,2.129999924E1
1.057443315E2,2.050000000E1
1.059443340E2,2.050000000E1
1.061443298E2,2.050000000E1
1.063443093E2,2.020000076E1
1.065443306E2,1.989999962E1
1.067443321E2,2.010000038E1
1.069443339E2,2.100000000E1
1.071443097E2,2.089999962E1
1.073443294E2,2.160000038E1
1.075443327E2,2.239999962E1
1.077443329E2,2.270000076E1
1.079443115E2,2.210000038E1
1.081443306E2,2.189999962E1
1.083443292E2,2.139999962E1
1.085443333E2,2.150000000E1
1.087443173E2,2.160000038E1
1.089443097E2,2.139999962E1
1.091443410E2,2.110000038E1
1.093443330E2,2.179999924E1
1.095443180E2,2.139999962E1
1.097443305E2,2.139999962E1
1.099443364E2,2.120000076E1
1.101443313E2,2.100000000E1
1.103443104E2,2.160000038E1
1.105443314E2,2.460000038E1
1.107443336E2,3.259999847E1
1.109443329E2,1.141999969E2
1.111443169E2,3.377000122E2
1.112443296E2,3.442999878E2
1.114443474E2,3.375000000E2
1.116443106E2,3.127000122E2
1.118443319E2,2.862000122E2
1.120443330E2,2.637000122E2
1.122443483E2,2.228000031E2
1.124443208E2,1.721999969E2
1.126443298E2,1.275999985E2
1.128443329E2,9.459999847E1
1.130443321E2,7.580000305E1
1.132443103E2,6.790000153E1
1.134443293E2,5.190000153E1
1.136443309E2,3.079999924E1
1.138443337E2,2.300000000E1
1.140443058E2,2.129999924E1
1.142443315E2,2.079999924E1
1.144443330E2,2.070000076E1
1.146443315E2,2.060000038E1
1.148443044E2,2.089999962E1
1.150443306E2,2.310000038E1
1.152443319E2,2.250000000E1
1.154443338E2,2.200000000E1
1.156443119E2,2.160000038E1
1.158443299E2,2.129999924E1
1.160443327E2,2.150000000E1
1.162443337E2,2.089999962E1
1.164443097E2,2.089999962E1
1.166443286E2,2.139999962E1
1.168443325E2,2.150000000E1
1.170443332E2,2.220000076E1
1.172443180E2,2.239999962E1
1.174443314E2,2.229999924E1
1.176443295E2,2.239999962E1
1.178443300E2,2.200000000E1
1.180443172E2,2.160000038E1
1.182443294E2,2.160000038E1
1.184443325E2,2.129999924E1
1.186443304E2,2.110000038E1
1.188443042E2,2.150000000E1
1.190443212E2,2.150000000E1
1.192443230E2,2.120000076E1
1.194443040E2,2.160000038E1
1.196443179E2,2.160000038E1
1.198443203E2,2.160000038E1
1.200443237E2,2.220000076E1
1.202443030E2,2.179999924E1
1.204443025E2,2.210000038E1
1.206443182E2,2.210000038E1
1.208443234E2,2.220000076E1
1.210443042E2,2.239999962E1
1.212443182E2,2.200000000E1
1.214443211E2,2.210000038E1
1.216443175E2,2.189999962E1
1.218443266E2,2.170000076E1
1.220443031E2,2.210000038E1
1.222443328E2,2.229999924E1
1.224443205E2,2.210000038E1
1.226443337E2,2.239999962E1
1.228443028E2,2.239999962E1
1.230443216E2,2.270000076E1
1.232443200E2,2.289999962E1
1.234443336E2,2.239999962E1
1.236443026E2,2.239999962E1
1.238443206E2,2.239999962E1
1.240443207E2,2.229999924E1
1.242443208E2,2.260000038E1
1.244443051E2,2.279999924E1
1.246443183E2,2.289999962E1
1.248443210E2,2.279999924E1
1.250443213E2,2.270000076E1
1.252443043E2,2.239999962E1
1.254443220E2,2.170000076E1
1.256443179E2,2.139999962E1
1.258443254E2,2.150000000E1
1.260443051E2,2.189999962E1
1.262443223E2,2.239999962E1
1.264443224E2,2.260000038E1
1.266443175E2,2.189999962E1
1.268443000E2,2.189999962E1
1.270443208E2,2.200000000E1
1.272443208E2,2.239999962E1
1.274443224E2,2.260000038E1
1.276443098E2,2.279999924E1
1.278443259E2,2.289999962E1
1.280443221E2,2.300000000E1
1.282443210E2,2.300000000E1
1.284443034E2,2.329999924E1
1.286443174E2,2.329999924E1
1.288443435E2,2.279999924E1
1.290443206E2,2.239999962E1
1.292443040E2,2.220000076E1
1.294443175E2,2.220000076E1
1.296443175E2,2.189999962E1
1.298443227E2,2.160000038E1
1.300443037E2,2.160000038E1
1.302443189E2,2.110000038E1
1.304443208E2,2.079999924E1
1.306443190E2,2.100000000E1
1.308443039E2,2.089999962E1
1.310443189E2,2.100000000E1
1.312443203E2,2.160000038E1
1.314443297E2,2.139999962E1
1.316443044E2,2.100000000E1
1.318443182E2,2.100000000E1
1.320443203E2,2.079999924E1
1.322443232E2,2.110000038E1
1.324443043E2,2.070000076E1
1.326443172E2,2.070000076E1
1.328443208E2,2.039999962E1
1.330443217E2,2.039999962E1
1.332443105E2,2.020000076E1
1.334443191E2,2.079999924E1
1.336443184E2,2.110000038E1
1.338443239E2,2.079999924E1
1.340443038E2,2.079999924E1
1.342443172E2,2.100000000E1
1.343443236E2,2.160000038E1
1.345443076E2,2.239999962E1
1.347443211E2,2.229999924E1
1.349443030E2,2.170000076E1
1.351443205E2,2.079999924E1
1.353443035E2,2.050000000E1
1.355443214E2,2.039999962E1
1.357443218E2,2.029999924E1
1.359443216E2,2.000000000E1
1.361443044E2,1.989999962E1
1.363443190E2,2.000000000E1
1.365443210E2,2.000000000E1
1.367443230E2,1.970000076E1
1.369443036E2,2.000000000E1
1.371443186E2,2.050000000E1
1.373443214E2,2.060000038E1
1.375443219E2,2.079999924E1
1.377443035E2,2.150000000E1
1.379443180E2,2.160000038E1
1.381443171E2,2.220000076E1
1.383443213E2,2.220000076E1
1.385443043E2,2.200000000E1
1.387443175E2,2.200000000E1
1.389443024E2,2.220000076E1
1.391443189E2,2.179999924E1
1.393443053E2,2.179999924E1
1.395443174E2,2.160000038E1
1.397443208E2,2.170000076E1
1.399443206E2,2.170000076E1
1.401443039E2,2.150000000E1
1.403443180E2,2.229999924E1
1.405443333E2,2.179999924E1
1.407443234E2,2.179999924E1
1.409443086E2,2.179999924E1
1.411443182E2,2.170000076E1
1.413443216E2,2.150000000E1
1.415443236E2,2.089999962E1
1.417443044E2,2.079999924E1
1.419443030E2,2.170000076E1
1.421443174E2,2.210000038E1
1.423443237E2,2.279999924E1
1.425443035E2,2.310000038E1
1.427443195E2,2.350000000E1
1.429443218E2,2.360000038E1
1.431443194E2,2.370000076E1
1.433443116E2,2.360000038E1
1.435443182E2,2.339999962E1
1.437443213E2,2.289999962E1
1.439443242E2,2.329999924E1
1.441443042E2,2.379999924E1
1.443443033E2,2.329999924E1
1.445443184E2,2.220000076E1
1.447443513E2,2.089999962E1
1.449443034E2,2.050000000E1
1.451443177E2,2.070000076E1
1.453443223E2,1.950000000E1
1.455443216E2,1.729999924E1
1.457443133E2,1.750000000E1
1.459443032E2,1.770000076E1
1.461443177E2,1.820000076E1
1.463443213E2,1.829999924E1
1.465443101E2,1.879999924E1
1.467443051E2,1.870000076E1
1.469443206E2,1.920000076E1
1.471443209E2,2.210000038E1
1.473443035E2,2.310000038E1
1.475443182E2,2.329999924E1
1.477443187E2,2.350000000E1
1.479443248E2,2.370000076E1
1.481443035E2,2.389999962E1
1.483443071E2,2.400000000E1
1.485443213E2,2.400000000E1
1.487443200E2,2.379999924E1
1.489443339E2,2.379999924E1
1.491443022E2,2.329999924E1
1.493443217E2,2.320000076E1
1.495443219E2,2.300000000E1
1.497443324E2,2.300000000E1
1.499443029E2,2.270000076E1
1.501443175E2,2.260000038E1
1.503443205E2,2.229999924E1
1.505443206E2,2.270000076E1
1.507443032E2,2.239999962E1
1.509443211E2,2.229999924E1
1.511443208E2,2.220000076E1
1.513443188E2,2.210000038E1
1.515443020E2,2.239999962E1
1.517443216E2,2.239999962E1
1.519443214E2,2.239999962E1
1.521443193E2,2.250000000E1
1.523443039E2,2.260000038E1
1.525443218E2,2.270000076E1
1.527443211E2,2.270000076E1
1.529443180E2,2.239999962E1
1.531443033E2,2.250000000E1
1.533443189E2,2.229999924E1
1.535443201E2,2.200000000E1
1.537443229E2,2.210000038E1
1.539443040E2,2.160000038E1
1.541443187E2,2.129999924E1
1.543443205E2,2.110000038E1
1.545443200E2,2.139999962E1
1.547443034E2,2.160000038E1
1.549443175E2,2.160000038E1
1.551443175E2,2.179999924E1
1.553443213E2,2.179999924E1
1.555442277E2,2.139999962E1
1.557443171E2,2.129999924E1
1.559443214E2,2.129999924E1
1.561443198E2,2.120000076E1
1.563443101E2,2.120000076E1
1.565443177E2,2.129999924E1
1.567443211E2,2.120000076E1
1.568443028E2,2.129999924E1
1.570443211E2,2.120000076E1
1.572443215E2,2.070000076E1
1.574443324E2,2.100000000E1
1.576443062E2,2.079999924E1
1.578443190E2,2.110000038E1
1.580443203E2,2.120000076E1
1.582443325E2,2.160000038E1
1.584443019E2,2.289999962E1
1.586443184E2,2.360000038E1
1.588443209E2,2.339999962E1
1.590443220E2,2.320000076E1
1.592443082E2,2.320000076E1
1.594443224E2,2.279999924E1
1.596443192E2,2.279999924E1
1.598443482E2,2.300000000E1
1.600443059E2,2.320000076E1
1.602443210E2,2.320000076E1
1.604443221E2,2.320000076E1
1.606443201E2,2.350000000E1
1.608443064E2,2.350000000E1
1.610443217E2,2.320000076E1
1.612443216E2,2.370000076E1
1.614443229E2,2.339999962E1
1.616443074E2,2.329999924E1
1.618443219E2,2.310000038E1
1.620443216E2,2.320000076E1
1.622443245E2,2.079999924E1
1.624443050E2,2.000000000E1
1.626443174E2,1.879999924E1
1.628443174E2,2.000000000E1
1.630443208E2,2.150000000E1
1.632443060E2,2.100000000E1
1.634443192E2,1.889999962E1
1.636443192E2,1.829999924E1
1.638443208E2,1.920000076E1
1.640443104E2,1.960000038E1
1.642443197E2,2.060000038E1
1.644443220E2,2.160000038E1
1.646443182E2,2.260000038E1
1.648443120E2,2.200000000E1
1.650443175E2,2.110000038E1
1.652443208E2,2.139999962E1
1.654443234E2,2.400000000E1
1.656443041E2,2.629999924E1
1.658443174E2,2.700000000E1
1.660443203E2,2.660000038E1
1.662443201E2,2.639999962E1
1.664443038E2,2.670000076E1
1.666443171E2,2.739999962E1
1.668443217E2,2.750000000E1
1.670443233E2,2.679999924E1
1.672443120E2,2.550000000E1
1.674443188E2,2.550000000E1
1.676443181E2,2.600000000E1
1.678443234E2,2.610000038E1
1.680443041E2,2.600000000E1
1.682443174E2,2.629999924E1
1.684443211E2,2.539999962E1
1.686443216E2,2.510000038E1
1.688443040E2,2.579999924E1
1.690443175E2,2.650000000E1
1.692443208E2,2.650000000E1
1.694443220E2,2.579999924E1
1.696443036E2,2.500000000E1
