"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.672586208E0,5.286898613E-1,3.362372816E-1,4.879425466E-1
2.682539208E0,5.637552142E-1,2.953660190E-1,4.224618077E-1
2.692492208E0,6.265453696E-1,2.501920462E-1,3.488269746E-1
2.702445208E0,6.853820086E-1,1.993991882E-1,2.790982127E-1
2.712398208E0,7.130469084E-1,1.796382368E-1,2.416401058E-1
2.722351208E0,7.160230279E-1,1.980851442E-1,2.284721136E-1
2.732304208E0,6.852820516E-1,2.632713616E-1,2.089571208E-1
2.742257208E0,5.784826279E-1,3.665964305E-1,1.875990927E-1
2.752210208E0,3.881875873E-1,5.346707106E-1,1.600471735E-1
2.762163208E0,1.436598599E-1,7.431978583E-1,1.283238530E-1
2.772116208E0,-1.043025628E-1,9.608803988E-1,1.338764876E-1
2.782069208E0,-3.030356467E-1,1.156093359E0,2.283952683E-1
2.792021208E0,-4.305846989E-1,1.240996599E0,3.730902374E-1
2.801974208E0,-4.939604700E-1,1.181761980E0,4.976878166E-1
2.811927208E0,-5.037617087E-1,1.079825044E0,5.170607567E-1
2.821880208E0,-5.483126640E-1,1.056132197E0,4.659637213E-1
2.831833208E0,-6.872578859E-1,1.182929397E0,4.382044077E-1
2.841786208E0,-8.942153454E-1,1.312652469E0,5.008196235E-1
2.851739208E0,-1.047561646E0,1.336851001E0,6.241070628E-1
2.861692208E0,-1.159715295E0,1.261840940E0,7.627978325E-1
2.871645208E0,-1.280921578E0,1.113283038E0,9.184151888E-1
2.881598208E0,-1.380734205E0,9.142417908E-1,1.040319800E0
2.891551208E0,-1.414469361E0,6.464567780E-1,1.057337761E0
2.901504208E0,-1.340826511E0,3.018312156E-1,9.651889205E-1
2.911457208E0,-1.239623785E0,-6.014666706E-2,8.122555017E-1
2.921410208E0,-1.088491201E0,-2.961645424E-1,6.158319712E-1
2.931363208E0,-8.862792850E-1,-3.609184027E-1,4.070436358E-1
2.941316208E0,-6.420567632E-1,-3.200434148E-1,2.324212492E-1
2.951269208E0,-3.993891180E-1,-1.964028925E-1,1.391987354E-1
2.961222208E0,-2.068588436E-1,6.624522619E-3,1.512665749E-1
2.971175208E0,-1.442000419E-1,2.985489666E-1,2.455065101E-1
2.981128208E0,-2.595828176E-1,6.621726751E-1,4.282366633E-1
2.991081208E0,-5.122191310E-1,1.047232509E0,6.596450210E-1
3.001034208E0,-8.092199564E-1,1.388536096E0,8.757328391E-1
3.010987208E0,-1.078179955E0,1.562685370E0,1.057441711E0
3.020940208E0,-1.210863709E0,1.556345701E0,1.159983277E0
3.030893208E0,-1.209686279E0,1.254491687E0,1.153464198E0
3.040846208E0,-1.184985757E0,7.383881807E-1,1.053988695E0
3.050799208E0,-1.004589200E0,4.070182443E-1,8.937516809E-1
3.060752208E0,-6.574663520E-1,2.452394515E-1,7.183716297E-1
3.070704208E0,-2.413626909E-1,2.158861607E-1,5.479865670E-1
3.080657208E0,1.175312772E-1,2.270461470E-1,4.341015518E-1
3.090610208E0,3.459594250E-1,2.623628974E-1,4.275728762E-1
3.100563208E0,4.624447823E-1,3.286052942E-1,5.195959806E-1
3.110516208E0,5.191071033E-1,3.816610277E-1,6.776392460E-1
3.120469208E0,5.337518454E-1,4.342179596E-1,8.342270255E-1
3.130422208E0,5.370151997E-1,4.993092120E-1,9.738953114E-1
3.140375208E0,5.795541406E-1,5.799801350E-1,1.078076363E0
3.150328208E0,6.560895443E-1,7.245382071E-1,1.117964625E0
3.160281208E0,7.545948029E-1,9.608130455E-1,1.085203528E0
3.170234208E0,8.389005661E-1,1.256649137E0,1.028866291E0
3.180187208E0,9.553145170E-1,1.416181564E0,9.598369002E-1
3.190140208E0,1.079612136E0,1.558529377E0,8.930611610E-1
3.200093208E0,1.178124785E0,1.677832127E0,8.514327407E-1
3.210046208E0,1.251882672E0,1.696434259E0,8.571553826E-1
3.219999208E0,1.264418125E0,1.602746606E0,9.304903150E-1
3.229952208E0,1.244684219E0,1.331222892E0,1.060673594E0
3.239905208E0,1.198841572E0,1.004856944E0,1.189220905E0
3.249858208E0,1.126159549E0,7.310225964E-1,1.255833387E0
3.259811208E0,1.026669979E0,5.252513289E-1,1.232824206E0
3.269764208E0,8.815037608E-1,4.374730587E-1,1.144424319E0
