,acc_Acceleration x (m/s^2),acc_Acceleration y (m/s^2),acc_Acceleration z (m/s^2),gyr_Gyroscope x (rad/s),gyr_Gyroscope y (rad/s),gyr_Gyroscope z (rad/s),lux_Illuminance (lx),loc_Latitude (°),loc_Longitude (°),loc_Velocity (m/s),mag_Magnetic field x (µT),mag_Magnetic field y (µT),mag_Magnetic field z (µT),labelbike,labeldance,labeldesk,labelrun,labelsit,labelwalki,labelwalko
2021-06-05 08:36:43.816535552,0.03775669468813132,-0.41524620188888894,9.934818065595959,0.0007595985708490001,0.0009111901203970001,0.000640799019026,,,,,-42.2518496704,-29.522108765200006,-53.88254119759999,0,0,1,0,0,0,0
2021-06-05 08:36:44.066535552,0.03920850007253536,-0.4143509223626262,9.933535681898991,0.000862646512862245,0.00046204013767346935,0.0009368988043938774,,,,,-42.6271990964,-29.4353161624,-54.0166952512,0,0,1,0,0,0,0
2021-06-05 08:36:44.316535552,0.039084800652081635,-0.41800290285612246,9.93256983462245,0.0012176618957169998,0.000815316345556,0.00038513578480200007,,,,,-42.645147399200006,-29.6102966316,-54.262737121600004,0,0,1,0,0,0,0
2021-06-05 08:36:44.566535552,0.03811965205461616,-0.4186579446585859,9.935810175777778,0.0008952566184693877,0.0009620618407653063,0.0006107977325448981,,,,,-42.5042950448,-29.5180972296,-53.758865662000005,0,0,1,0,0,0,0
2021-06-05 08:36:44.816535552,0.037296961654434344,-0.42642509967878794,9.93184188890909,0.0013135356199129998,0.0008259690308619999,0.00037448316112000004,,,,,-42.264505614,-29.4713272096,-53.6296310428,0,0,1,0,0,0,0
2021-06-05 08:36:45.066535552,0.037296959246343436,-0.4219245046676767,9.935205247666667,0.0013952782823765306,0.0009403217860479592,0.0005455775024857143,,,,,-42.2772570804,-29.286131897999997,-53.4587557992,0,0,1,0,0,0,0
2021-06-05 08:36:45.316535552,0.03841000735132323,-0.42267460263535356,9.938496040616164,0.0012430977954938774,0.0008424913839765306,0.0005673175720224488,,,,,-42.1658226,-29.6465368648,-53.612765807600006,0,0,1,0,0,0,0
2021-06-05 08:36:45.566535552,0.036619453719282824,-0.42349729363434346,9.938931551848485,0.001228314535727,0.000996411173852,0.00059818848964,,,,,-42.62117919920001,-29.387125853999997,-53.955196228000005,0,0,1,0,0,0,0
2021-06-05 08:36:45.816535552,0.03838581208070707,-0.42407801476363627,9.930293304686868,0.0011017872946540816,0.0011359824031142859,0.0005781876151755102,,,,,-42.63970794679999,-29.4328179936,-53.83750885079999,0,0,1,0,0,0,0
2021-06-05 08:36:46.066535552,0.04231136429051021,-0.42142501382959185,9.935723032295918,0.001505283047348,0.001039021696186,0.0008112411922900001,,,,,-42.627398375999995,-29.4789672852,-53.7809506232,0,0,1,0,0,0,0
2021-06-05 08:36:46.316535552,0.041144243996505056,-0.42395703118484845,9.936439225242424,0.001319187999765306,0.0008098813432061225,0.00045861720531020404,,,,,-42.381364441200006,-29.334924010800002,-53.856977844,0,0,1,0,0,0,0
2021-06-05 08:36:46.566535552,0.03983761626095961,-0.4264734920303031,9.932834037646465,0.001185703966675,0.0009431479947270001,0.0005555779439880001,,,,,-42.4986129764,-29.222257690800003,-53.70024383479999,0,0,1,0,0,0,0
2021-06-05 08:36:46.816535552,0.040127980589030304,-0.42131958675959597,9.934261659242425,0.0010691771986071428,0.0010490221201571428,0.0007629782336795918,,,,,-42.411761322000004,-29.5313595576,-53.9483163452,0,0,1,0,0,0,0
2021-06-05 08:36:47.066535552,0.036788825435151516,-0.42695742785050506,9.934310007636363,0.0011126573258714286,0.0009620618485193877,0.0005020973776122449,,,,,-42.69497695920001,-29.655124816799997,-53.662971496,0,0,1,0,0,0,0
2021-06-05 08:36:47.316535552,0.04165237419577778,-0.42473132622222215,9.932156533969698,0.0008980828453579999,0.0008579269319420002,0.00036383051662200005,,,,,-42.55970825240001,-29.3100955204,-53.9917044064,0,0,1,0,0,0,0
2021-06-05 08:36:47.566535552,0.03809545377308081,-0.42129538757979795,9.93699576640404,0.001297447939689796,0.0006250907424938777,0.0005673175744285713,,,,,-42.19727066,-29.2037591548,-53.5505807492,0,0,1,0,0,0,0
2021-06-05 08:36:47.816535552,0.03879147828857143,-0.42401603989693876,9.930247735061226,0.0007382932747480002,0.00112424281656,0.0009071148861760001,,,,,-42.503989257200004,-29.626362609999997,-53.89998687799999,0,0,1,0,0,0,0
2021-06-05 08:36:48.066535552,0.04520929341325252,-0.4270058220151515,9.93336632280808,0.0008735165416857145,0.0011577224566459185,0.0005673175838938776,,,,,-42.5600160212,-29.3349432372,-53.6818930048,0,0,1,0,0,0,0
2021-06-05 08:36:48.316535552,0.04090227442590909,-0.4286753992878788,9.937866827464646,0.001036567070901,0.001134895405833,0.00059818848272,,,,,-42.424307555199995,-29.5109866332,-53.756959534,0,0,1,0,0,0,0
2021-06-05 08:36:48.566535552,0.038410010963838385,-0.4269816258343434,9.933172726848484,0.001275707860567347,0.0009185816873653062,0.0005673175791734694,,,,,-42.442930908399994,-29.3470031732,-53.815035094799995,0,0,1,0,0,0,0
2021-06-05 08:36:48.816535552,0.037780891765252525,-0.4190208938989899,9.934576169454546,0.0010691771939112245,0.0011468524854204082,0.0005890576606183673,,,,,-42.7263809196,-29.1897784432,-53.6691433712,0,0,1,0,0,0,0
2021-06-05 08:36:49.066535552,0.03640168122538384,-0.4229407701797979,9.934914964585861,0.001430714579686,0.000932495352513,0.0007792832889160003,,,,,-42.5538536072,-29.230754089199994,-53.819137878,0,0,1,0,0,0,0
2021-06-05 08:36:49.316535552,0.03678882964927273,-0.42560241017676764,9.931430595111113,0.0013191880258244897,0.0007772712465357143,0.0006651479005081632,,,,,-42.308259582400005,-29.219793090000003,-53.330295105199994,0,0,1,0,0,0,0
2021-06-05 08:36:49.566535552,0.03818038896661224,-0.4259715335704082,9.932154256489795,0.001004609209441,0.0008472742308950001,0.0007473253924780002,,,,,-42.4001477052,-29.272996826399993,-53.641490172800005,0,0,1,0,0,0,0
2021-06-05 08:36:49.816535552,0.04624975690950504,-0.42431998343535354,9.934769669020202,0.0010148270141020408,0.0012664228394428571,0.00041513708043673474,,,,,-42.4243867496,-29.498360595599998,-53.701390685599996,0,0,1,0,0,0,0
2021-06-05 08:36:50.066535552,0.04131361932486868,-0.42359408074343435,9.937358779101011,0.0013987566925699997,0.0007300952158520002,0.000672756941042,,,,,-42.658918762000006,-29.278367919200004,-53.350716858,0,0,1,0,0,0,0
2021-06-05 08:36:50.316535552,0.03770830655362626,-0.42252942137272714,9.935640787929293,0.0007756862037734694,0.001201202583257143,0.000719498080367347,,,,,-42.356877747199995,-29.321274108800004,-53.757476501199996,0,0,1,0,0,0,0
2021-06-05 08:36:50.566535552,0.03870036987361616,-0.4259653615252525,9.928768909323232,0.0010148270211377552,0.001125112408767347,0.00027382662954693885,,,,,-42.461253203199995,-29.453322754400002,-53.80806793160001,0,0,1,0,0,0,0
2021-06-05 08:36:50.816535552,0.033546457989111114,-0.4261105415777777,9.938496059959595,0.0010365670942020003,0.0008792322070920001,0.0005449253227680001,,,,,-42.350988616,-29.242398377199997,-53.61586273159999,0,0,1,0,0,0,0
2021-06-05 08:36:51.066535552,0.03769151592765306,-0.4235760554397959,9.934549740336735,0.0012539677934132654,0.0006359607505357143,0.0005238374257591837,,,,,-42.319361114799996,-29.86703827,-53.614031675999996,0,0,1,0,0,0,0
2021-06-05 08:36:51.316535552,0.03615971165550506,-0.424319981630303,9.934527743949495,0.0007276406767310002,0.000538347852426,0.000385135770754,,,,,-42.799562988,-29.593335571599997,-53.76534088120001,0,0,1,0,0,0,0
2021-06-05 08:36:51.566535552,0.04039414783931313,-0.4256024098787879,9.936826465181818,0.0004495851462836734,0.0008533614918285714,0.0008390684782755102,,,,,-42.76311248839999,-29.418630676800003,-53.55597442639999,0,0,1,0,0,0,0
2021-06-05 08:36:51.816535552,0.03785348600859596,-0.4230375551848484,9.934648687191919,0.001569198842499,0.0009431480179830002,0.00060884111797,,,,,-42.79944000279999,-29.3634088132,-54.164195251600006,0,0,1,0,0,0,0
2021-06-05 08:36:52.066535552,0.03669203893149495,-0.42383604760808086,9.933632426757576,0.0009822169037265306,0.0007555311467387757,0.000567317581555102,,,,,-42.2524916072,-29.3167211912,-53.55683380080001,0,0,1,0,0,0,0
2021-06-05 08:36:52.316535552,0.03565158115751515,-0.4277075256692627,9.937140975131314,0.0007430761387061225,0.0007337910765357142,0.0006760179222346938,,,,,-42.553817290400005,-29.1270294192,-53.9812954724,0,0,1,0,0,0,0
2021-06-05 08:36:52.566535552,0.041652376904121206,-0.4255782128,9.930075558545456,0.0008235143637270003,0.001188158544803,0.000757978016036,,,,,-42.652059783599995,-29.4844955444,-53.73197662479999,0,0,1,0,0,0,0
2021-06-05 08:36:52.816535552,0.039598121934510205,-0.4245293596581633,9.934231923561226,0.001232227716729592,0.0011577225101071429,0.0002738266081020409,,,,,-42.4427310172,-29.6333276364,-53.638378602,0,0,1,0,0,0,0
2021-06-05 08:36:53.066535552,0.039232695946070706,-0.42064207612424237,9.932011363525254,0.0011643987008849999,0.001124242787468,0.00048100948333800006,,,,,-42.768594818000004,-29.699744872399997,-53.81285919159999,0,0,1,0,0,0,0
2021-06-05 08:36:53.316535552,0.03978922270775758,-0.4296432679323233,9.935519825282828,0.0013735382104224489,0.0010272821005489795,0.0007521082072795917,,,,,-42.6578823848,-29.471625366800005,-54.047990416800005,0,0,1,0,0,0,0
2021-06-05 08:36:53.566535552,0.034248167215858584,-0.4230859478313131,9.93629408368687,0.000653072218425,0.0012094637756890003,0.0006194937508300001,,,,,-42.276642456,-29.5664108264,-53.665974425200005,0,0,1,0,0,0,0
2021-06-05 08:36:53.816535552,0.03712758572434343,-0.42719939682222224,9.93440680070707,0.0011561374912040815,0.001125112430155102,0.0005238374329632654,,,,,-42.33828781079999,-29.235883790000003,-53.9808633424,0,0,1,0,0,0,0
2021-06-05 08:36:54.066535552,0.03555479133975758,-0.4189241067929293,9.93629414151515,0.0011561374744377551,0.0010164119908755102,0.000665147914744898,,,,,-42.44297546399999,-29.514290465600002,-53.5654757688,0,0,1,0,0,0,0
2021-06-05 08:36:54.316535552,0.03957144840813131,-0.42504588312121205,9.929712574878787,0.0011750513244999999,0.0011348954733670002,0.0006940622186659999,,,,,-42.861631622000004,-29.303493653200004,-53.646426085600005,0,0,1,0,0,0,0
2021-06-05 08:36:54.566535552,0.03830260707421428,-0.43066471542142853,9.935331967408164,0.0008300363930602041,0.001016412058007143,0.00042600712114081635,,,,,-42.867425842799996,-29.696234436,-53.48106903080001,0,0,1,0,0,0,0
2021-06-05 08:36:54.816535552,0.036861416667747476,-0.4255540181363637,9.936487660252526,0.000780903825042,0.001379905977462,0.0009177675424280001,,,,,-42.6705126948,-29.5254016116,-53.688627014400005,0,0,1,0,0,0,0
2021-06-05 08:36:55.066535552,0.04133781820859596,-0.42107761990202025,9.93793951868687,0.0014278883641234694,0.0012446827467479593,0.0006868879796081633,,,,,-42.412134094,-29.3932415772,-53.78278045679999,0,0,1,0,0,0,0
2021-06-05 08:36:55.316535552,0.03986181273577778,-0.4222632589424243,9.932567808424242,0.0008874301868240001,0.0013692534155480003,0.0006727569387380001,,,,,-42.603029480400004,-29.4348165888,-53.613711853199995,0,0,1,0,0,0,0
2021-06-05 08:36:55.566535552,0.04020056941332323,-0.42311014641818184,9.934358404181818,0.001373538191386735,0.001266422892319388,0.00037165694604897965,,,,,-42.922778167999994,-29.5179934688,-53.732131042399985,0,0,1,0,0,0,0
2021-06-05 08:36:55.816535552,0.04015217345120202,-0.42661867298585854,9.933705060191919,0.000645245765117347,0.001125112414127551,0.0005781876245836735,,,,,-42.7263528444,-29.2596084592,-53.60642669640001,0,0,1,0,0,0,0
2021-06-05 08:36:56.066535552,0.04155558889537375,-0.4236424727888889,9.937140936858585,0.0011857040179640002,0.001060326939882,0.00041709368582799997,,,,,-42.806078338,-29.513347777999996,-53.53737640400001,0,0,1,0,0,0,0
